category,asset_name,source_url,bytes,output_file
images,Man_Back_shutterstock_2408261523_50pc_Wider_copy.png,https://static.wixstatic.com/media/4ff282_57c8a7c10a034a63a8a7407fe08ad2d0~mv2.png/v1/fill/w_49%2Ch_49%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/Man_Back_shutterstock_2408261523_50pc_Wider%20copy.png,5158,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/ddef72f42e_Man_Back_shutterstock_2408261523_50pc_Wider_copy.png
images,Nose_Band_Model_Green_copy.png,https://static.wixstatic.com/media/4ff282_9d68d069e1fc414a94d2946e9b1916c2~mv2.png/v1/fill/w_49%2Ch_66%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/Nose_Band_Model_Green%20copy.png,10884,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/8d4d81e600_Nose_Band_Model_Green_copy.png
images,Pregnancy_Hands_Womens_HealthiStock-1366468183_copy.jpg,https://static.wixstatic.com/media/4ff282_cd4bcef12e18463cb3a610605b139e7b~mv2.jpg/v1/fill/w_147%2Ch_90%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Pregnancy_Hands_Womens_HealthiStock-1366468183%20copy.jpg,2647,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/526d7b9949_Pregnancy_Hands_Womens_HealthiStock-1366468183_copy.jpg
images,Pressure_Point_Massage.jpeg,https://static.wixstatic.com/media/11062b_701ecff590564465a24fc9c5f63f848a~mv2.jpeg/v1/crop/x_511%2Cy_0%2Cw_2682%2Ch_2044/fill/w_106%2Ch_81%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Pressure%20Point%20Massage.jpeg,3106,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/2ab7fa45aa_Pressure_Point_Massage.jpeg
images,Spilling_Sand.jpg,https://static.wixstatic.com/media/11062b_27f3028bea054adba68155403146d7d0~mv2.jpg/v1/fill/w_147%2Ch_98%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/Spilling%20Sand.jpg,2885,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/993011f95e_Spilling_Sand.jpg
images,Traditional_Medicine_Cabinet.jpg,https://static.wixstatic.com/media/ad439a36b98e46a88497732324a4deeb.jpg/v1/fill/w_147%2Ch_98%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Traditional%20Medicine%20Cabinet.jpg,3139,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/adf9130e5d_Traditional_Medicine_Cabinet.jpg
images,Wix_Back_Edited_v1_wider_smaller_Girl_Hunched_Girl_New_Green_Cutouts_Only_Nude_Cross_Legs_.png,https://static.wixstatic.com/media/4ff282_498ae914600e4cb4a69974da1676e8d9~mv2.png/v1/crop/x_0%2Cy_115%2Cw_1465%2Ch_697/fill/w_1461%2Ch_697%2Cfp_0.50_0.50%2Cq_90%2Cenc_avif%2Cquality_auto/Wix_Back_Edited_v1_wider_smaller_Girl_Hunched_Girl_New_Green_Cutouts_Only_Nude_Cross_Legs_.png,309074,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/99e5108c74_Wix_Back_Edited_v1_wider_smaller_Girl_Hunched_Girl_New_Green_Cutouts_Only_Nude_Cross_Legs_.png
images,Zen_Garden.jpg,https://static.wixstatic.com/media/11062b_be74cfce0d87477fa99cd27a3e7c9e3b~mv2.jpg/v1/fill/w_147%2Ch_98%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/Zen%20Garden.jpg,2344,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/e0ad4697de_Zen_Garden.jpg
images,Zen_Garden_with_Stones.jpg,https://static.wixstatic.com/media/11062b_a357dd9ea48147a592e1778c949eaa37~mv2.jpg/v1/fill/w_147%2Ch_98%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_auto/Zen%20Garden%20with%20Stones.jpg,1851,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/4423ca352a_Zen_Garden_with_Stones.jpg
images,athlet-profisportlerin-rueckenschmerz__1.bin,https://static.wixstatic.com/media/4ff282_323145d349b84afb88b27549e30ed97e~mv2.png/v1/fill/w_49%2Ch_49%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/athlet-profisportlerin-rueckenschmerz%20(1,5784,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/3619c7d956_athlet-profisportlerin-rueckenschmerz__1.bin
images,c837a6_427102c2cc2a4d49b25e13b21832f499~mv2.png,https://static.wixstatic.com/media/c837a6_427102c2cc2a4d49b25e13b21832f499~mv2.png/v1/fit/w_692%2Ch_519%2Cq_90%2Cenc_avif%2Cquality_auto/c837a6_427102c2cc2a4d49b25e13b21832f499~mv2.png,15655,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/f7de75c6a7_c837a6_427102c2cc2a4d49b25e13b21832f499~mv2.png
images,c837a6_5aa9cfc44ee94d70b308ef817b548d12~mv2.png,https://static.wixstatic.com/media/c837a6_5aa9cfc44ee94d70b308ef817b548d12~mv2.png/v1/fit/w_692%2Ch_519%2Cq_90%2Cenc_avif%2Cquality_auto/c837a6_5aa9cfc44ee94d70b308ef817b548d12~mv2.png,17601,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/dfb6f3c321_c837a6_5aa9cfc44ee94d70b308ef817b548d12~mv2.png
images,c837a6_5da70eda3cf74491a2eed99a6cfa09df~mv2.png,https://static.wixstatic.com/media/c837a6_5da70eda3cf74491a2eed99a6cfa09df~mv2.png/v1/fit/w_692%2Ch_519%2Cq_90%2Cenc_avif%2Cquality_auto/c837a6_5da70eda3cf74491a2eed99a6cfa09df~mv2.png,9494,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/e7dbb60115_c837a6_5da70eda3cf74491a2eed99a6cfa09df~mv2.png
images,c837a6_623a34e85fda4da2b89cfd12c6d43076~mv2.png,https://static.wixstatic.com/media/c837a6_623a34e85fda4da2b89cfd12c6d43076~mv2.png/v1/fit/w_692%2Ch_519%2Cq_90%2Cenc_avif%2Cquality_auto/c837a6_623a34e85fda4da2b89cfd12c6d43076~mv2.png,19790,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/6829a6adde_c837a6_623a34e85fda4da2b89cfd12c6d43076~mv2.png
images,c837a6_d21ff80938ed4ed9acffeb9248f132d0~mv2.png,https://static.wixstatic.com/media/c837a6_d21ff80938ed4ed9acffeb9248f132d0~mv2.png/v1/fit/w_692%2Ch_519%2Cq_90%2Cenc_avif%2Cquality_auto/c837a6_d21ff80938ed4ed9acffeb9248f132d0~mv2.png,10634,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/cafd2e8bd3_c837a6_d21ff80938ed4ed9acffeb9248f132d0~mv2.png
images,iStock-1083702924_edited.jpg,https://static.wixstatic.com/media/4ff282_4c8a5d3b53814f66be0f6918d2b3ac02~mv2.jpg/v1/fill/w_147%2Ch_98%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/iStock-1083702924_edited.jpg,2781,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/a375645193_iStock-1083702924_edited.jpg
images,iStock-Hotty_Plank_1150246541_1645417878879_Flipped_50pc_copy.png,https://static.wixstatic.com/media/4ff282_5e737b984966475bb0b722f06e2aca0e~mv2.png/v1/crop/x_0%2Cy_427%2Cw_2288%2Ch_1089/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/iStock-Hotty_Plank_1150246541_1645417878879_Flipped_50pc%20copy.png,447982,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/0c5232c977_iStock-Hotty_Plank_1150246541_1645417878879_Flipped_50pc_copy.png
images,istockphoto-2220756344-2048x2048_4_Yellow_Ball_Spin_New_Cropped_Out_copy.png,https://static.wixstatic.com/media/4ff282_f1798a0d8b374d76a59df0f09ca7ef88~mv2.png/v1/crop/x_1%2Cy_806%2Cw_2117%2Ch_1008/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/istockphoto-2220756344-2048x2048_4_Yellow_Ball_Spin_New_Cropped_Out%20copy.png,481414,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/ed7fb4b3b6_istockphoto-2220756344-2048x2048_4_Yellow_Ball_Spin_New_Cropped_Out_copy.png
images,majestic-ancient-oak-tree-with-broad-canopy-twisting-branches-against-white-backdrop_38013.png,https://static.wixstatic.com/media/4ff282_d2c76d8ca3ef41da895efe3270d545b5~mv2.png/v1/fill/w_49%2Ch_30%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/majestic-ancient-oak-tree-with-broad-canopy-twisting-branches-against-white-backdrop_38013.png,5154,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/ca8f847e98_majestic-ancient-oak-tree-with-broad-canopy-twisting-branches-against-white-backdrop_38013.png
images,shahar__hauon_1_2_Smaller_Smaller_SmallerCrop_w_Shadow_Smaller__Smaller_Lighter_v3_copy_pn.png,https://static.wixstatic.com/media/4ff282_ca54c95a6f8b4dea968842c401e50ca3~mv2.png/v1/crop/x_7%2Cy_1054%2Cw_3220%2Ch_1533/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/shahar__hauon%201_2_Smaller_Smaller_SmallerCrop_w_Shadow_Smaller%20_Smaller_Lighter_v3%20copy_pn.png,356998,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/313360207f_shahar__hauon_1_2_Smaller_Smaller_SmallerCrop_w_Shadow_Smaller__Smaller_Lighter_v3_copy_pn.png
images,venerable-chinese-sage-stockcake_Crop_copy.png,https://static.wixstatic.com/media/4ff282_d2ef611b660f4bdf828226957705ecbf~mv2.png/v1/fill/w_81%2Ch_124%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/venerable-chinese-sage-stockcake_Crop%20copy.png,20579,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/images/3acce88116_venerable-chinese-sage-stockcake_Crop_copy.png
logos,DRA_Logo_2025_Headline_2_Web.png,https://static.wixstatic.com/media/4ff282_27a43beb59a4467b91a44f6b44974bff~mv2.png/v1/fill/w_49%2Ch_9%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/DRA_Logo_2025_Headline_2_Web.png,1579,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/logos/c049d34c1e_DRA_Logo_2025_Headline_2_Web.png
logos,DRA_Logo_2025_Headline_2_Web_Green_White.png,https://static.wixstatic.com/media/4ff282_d5f30aaa1e27453c82b2955d45da7fba~mv2.png/v1/crop/x_4%2Cy_0%2Cw_1124%2Ch_213/fill/w_818%2Ch_155%2Cfp_0.50_0.50%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/DRA_Logo_2025_Headline_2_Web_Green_White.png,52735,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/logos/1d0cfe9653_DRA_Logo_2025_Headline_2_Web_Green_White.png
logos,DRA_Logo_2025_Headline_2_Web_Grey_White.png,https://static.wixstatic.com/media/4ff282_59cd5f699f184439a949d8557e6d20eb~mv2.png/v1/fill/w_49%2Ch_9%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/DRA_Logo_2025_Headline_2_Web_Grey_White.png,1596,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/logos/a45c90a90f_DRA_Logo_2025_Headline_2_Web_Grey_White.png
logos,DRA_Logo_2025_Headlines_Rev_Thrive_Green_Grey.png,https://static.wixstatic.com/media/4ff282_d63613d24f2d4eed8d7b3cdd0b9aa47e~mv2.png/v1/fill/w_49%2Ch_12%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/DRA_Logo_2025_Headlines_Rev_Thrive_Green_Grey.png,2026,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/logos/dfc81db866_DRA_Logo_2025_Headlines_Rev_Thrive_Green_Grey.png
logos,DrAD_Traditional_Contemporary_v4-08_copy.png,https://static.wixstatic.com/media/4ff282_22c05192e7c144228b3eba469cacdb11~mv2.png/v1/crop/x_105%2Cy_846%2Cw_2583%2Ch_1229/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/DrAD_Traditional_Contemporary_v4-08%20copy.png,315081,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/logos/39e1568621_DrAD_Traditional_Contemporary_v4-08_copy.png
logos,DrAD_Traditional_Contemporary_v4_Grey-09_copy.png,https://static.wixstatic.com/media/4ff282_5409db6a40924ddf9e99c6944a290821~mv2.png/v1/fill/w_1618%2Ch_772%2Cal_c%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/DrAD_Traditional_Contemporary_v4_Grey-09%20copy.png,130070,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/logos/3796771fd1_DrAD_Traditional_Contemporary_v4_Grey-09_copy.png
logos,DrAD_Traditional_Contemporary_v4_Grey-10_copy.png,https://static.wixstatic.com/media/4ff282_65651675508b43c2ad668f8d71e64009~mv2.png/v1/crop/x_0%2Cy_713%2Cw_2900%2Ch_1380/fill/w_1618%2Ch_772%2Cfp_0.50_0.50%2Cq_90%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/DrAD_Traditional_Contemporary_v4_Grey-10%20copy.png,170234,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/logos/16298a3e62_DrAD_Traditional_Contemporary_v4_Grey-10_copy.png
logos,PharmacyLogoGrey_Small_copy.png,https://static.wixstatic.com/media/4ff282_ff108f49b5e5457e97fb2e89c6bd50ed~mv2.png/v1/crop/x_2%2Cy_0%2Cw_439%2Ch_303/fill/w_110%2Ch_76%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cblur_2%2Cenc_avif%2Cquality_auto/PharmacyLogoGrey_Small%20copy.png,16204,/Users/oliver/Documents/New project/wix-export-20260528-clean/organized_dedup/logos/fe51180ba6_PharmacyLogoGrey_Small_copy.png
